model,chipset_name,start_date,retirement_date
iPhone 14,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 13 Pro,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 12 Pro,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 12 Pro Max,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 13 mini,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 13 Pro Max,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 13,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 12,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11 Pro Max,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone 13 Pro,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 13 Pro Max,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 11 Pro Max,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 6th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11 Pro,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 12 Pro,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 15,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone XR,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone XS Max,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone XS,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 11,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone SE 2nd Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone SE 3rd Gen,Snapdragon X57 5G,2023-04-01 00:00:00,2026-03-01 00:00:00
iPhone 11 Pro Max,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 12,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 13 Pro,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 14 Pro Max,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 13 mini,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad 10th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 8 Plus,MDM9655,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 8,MDM9655,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone X,MDM9655,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 4th Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad mini 5th Gen,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Air 5th Gen,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone SE 2nd Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad 9th Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad mini 6th Gen,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 14 Plus,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 8,XMM 7480,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 14 Pro Max,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 11 Pro,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11 Pro,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone 8 Plus,XMM 7480,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone X,XMM 7480,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 12 mini,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (12.9-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (11-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 3rd Gen,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (12.9-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 4th Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11 Pro,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone 8,XMM 7480,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 12 Pro,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone XR,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 12 Pro Max,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 14 Pro Max,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 11,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone 12,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11 Pro Max,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone XS Max,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 12 mini,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 13 mini,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Pro 3rd Gen (12.9-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 11,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone SE 2nd Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad mini 6th Gen,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone XS,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad 10th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone SE 3rd Gen,Snapdragon X57 5G,2023-04-01 00:00:00,2026-03-01 00:00:00
iPad Air 5th Gen,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad mini 5th Gen,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 3rd Gen,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad 9th Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 3rd Gen (12.9-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 13-inch (M2),Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 12 Pro Max,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone XS Max,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 15 Pro Max,Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPad Pro 4th Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 14 Pro Max,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 15 Pro,Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone SE 2nd Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 6th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 11-inch (M2),Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Pro 11-inch (M4),Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone 14 Pro,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 8 Plus,MDM9655,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone X,MDM9655,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 8,MDM9655,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (12.9-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 13-inch (M4),Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone X,XMM 7480,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 8 Plus,XMM 7480,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 13-inch (M4),Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone 8,XMM 7480,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 13-inch (M4),Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPad Air 13-inch (M2),Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 15,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 12 Pro Max,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 13 Pro,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 12 Pro,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 12,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 15 Plus,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 12 mini,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 13-inch (M4),Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone 15 Pro,Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone 13 Pro,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 15 Pro Max,Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone 14 Pro,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 14 Pro Max,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 12 Pro,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 13 Pro Max,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 13 mini,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone SE 3rd Gen,Snapdragon X57 5G,2023-04-01 00:00:00,2026-03-01 00:00:00
iPhone 14 Plus,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 13,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 12,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 13-inch (M2),Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 15,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPad Pro 11-inch (M4),Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone 12 Pro Max,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 11-inch (M2),Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Pro 3rd Gen (12.9-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 14,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone XS Max,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone XR,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 15 Plus,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 11 Pro Max,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Air 5th Gen,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad mini 6th Gen,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad mini 5th Gen,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad 9th Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 6th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone XS,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 11,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone SE 2nd Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 4th Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 3rd Gen,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11 Pro,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (11-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad 10th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 3rd Gen (12.9-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone 11 Pro,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone 14 Pro,Snapdragon X65 5G,2022-10-01 00:00:00,2025-09-01 00:00:00
iPhone 15 Pro Max,Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone 13 Pro Max,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 13,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 13 mini,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Pro 11-inch (M4),Snapdragon X70 5G,2023-09-01 00:00:00,2026-08-01 00:00:00
iPhone XR,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone XS Max,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone XS,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad mini 6th Gen,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad 10th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad 9th Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad mini 5th Gen,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (12.9-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Air 3rd Gen,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad Pro 3rd Gen (11-inch),XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone 12 mini,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 14,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPhone 14 Plus,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone SE 2nd Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone XR,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPhone XS Max,XMM 7560,2020-01-01 00:00:00,2022-01-01 00:00:00
iPad 9th Gen,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
iPhone SE 3rd Gen,Snapdragon X57 5G,2023-04-01 00:00:00,2026-03-01 00:00:00
iPad mini 6th Gen,Snapdragon X60 5G,2021-07-01 00:00:00,2025-07-01 00:00:00
iPad Pro 5th Gen (12.9-inch),Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPad Air 4th Gen,Snapdragon X55 5G,2024-12-01 00:00:00,2025-04-01 00:00:00
iPhone 11 Pro Max,XMM 7660,2020-01-01 00:00:00,2024-01-01 00:00:00
